Fecha Orden;CodVenta;CodTienda;CodProducto;CodCliente;Cantidad;Precio;Coste;%IVA
1/01/2026;1;601;575;24201;4;2384.07;1481.9379;4
1/01/2026;2;2;487;18309;4;54.99;20.5663;8
1/01/2026;3;416;567;29091;1;742.35;461.4448;10
1/01/2026;4;549;383;14253;1;1000.4375;605.6492;21
1/01/2026;5;264;528;13917;4;4.99;1.8663;8
1/01/2026;6;528;484;17699;2;7.95;2.9733;8
1/01/2026;7;395;214;11238;1;34.99;13.0863;8
1/01/2026;8;491;528;18032;3;4.99;1.8663;8
1/01/2026;9;357;528;16072;2;4.99;1.8663;8
1/01/2026;10;154;535;17802;3;24.99;9.3463;8
1/01/2026;11;523;222;17744;3;34.99;13.0863;8
1/01/2026;12;66;380;24868;4;2443.35;1554.9479;8
1/01/2026;13;190;234;24003;1;49.99;38.4923;10
1/01/2026;14;528;537;12045;4;35;13.09;10
1/01/2026;15;405;529;23946;2;3.99;1.4923;10
1/01/2026;16;635;480;19086;3;2.29;0.8565;10
1/01/2026;17;66;363;11052;2;2294.99;1251.9813;10
1/01/2026;18;635;530;26720;1;4.99;1.8663;10
1/01/2026;19;98;214;14192;4;34.99;13.0863;10
1/01/2026;20;9;214;11343;2;34.99;13.0863;10
1/01/2026;21;333;355;13866;4;2319.99;1265.6195;10
1/01/2026;22;545;536;17721;2;29.99;11.2163;10
1/01/2026;23;95;368;13984;1;2443.35;1518.7864;21
1/01/2026;24;552;477;16918;4;4.99;1.8663;21
1/01/2026;25;2;382;19482;2;1120.49;713.0798;21
1/01/2026;26;601;231;13571;3;49.99;38.4923;10
1/01/2026;27;95;486;22531;3;159;59.466;10
1/01/2026;28;306;477;14146;1;4.99;1.8663;10
1/01/2026;29;190;312;12104;3;3578.27;2171.2942;8
1/01/2026;30;173;529;25768;2;3.99;1.4923;8
1/01/2026;31;395;489;15760;3;53.99;41.5723;8
1/01/2026;32;552;491;25828;3;53.99;41.5723;8
1/01/2026;33;647;378;21893;4;2443.35;1554.9479;8
1/01/2026;34;98;477;20433;3;4.99;1.8663;8
1/01/2026;35;23;475;18542;2;69.99;26.1763;8
1/01/2026;36;626;540;24962;2;32.6;12.1924;8
1/01/2026;37;514;537;14690;3;35;13.09;8
1/01/2026;38;241;477;22443;4;4.99;1.8663;4
1/01/2026;39;416;310;13558;4;3578.27;2171.2942;4
1/01/2026;40;306;378;19949;3;2443.35;1554.9479;4
1/01/2026;41;405;536;23037;3;29.99;11.2163;4
1/01/2026;42;572;485;17189;1;21.98;8.2205;8
1/01/2026;43;264;217;12928;3;34.99;13.0863;8
1/01/2026;44;549;476;14359;2;69.99;26.1763;8
1/01/2026;45;526;537;13350;3;35;13.09;8
1/01/2026;46;585;485;11368;4;21.98;8.2205;8
1/01/2026;47;35;225;20016;2;8.99;6.9223;8
1/01/2026;48;514;477;21715;4;4.99;1.8663;21
1/01/2026;49;601;478;21706;4;9.99;3.7363;21
1/01/2026;50;528;467;11411;4;24.49;9.1593;21
1/01/2026;51;234;529;19492;3;3.99;1.4923;21
1/01/2026;52;514;217;19596;2;34.99;13.0863;21
1/01/2026;53;213;359;13971;4;2294.99;1251.9813;21
1/01/2026;54;50;479;23403;1;8.99;3.3623;8
1/01/2026;55;416;329;20162;1;782.99;486.7066;8
1/01/2026;56;333;475;20139;3;69.99;26.1763;8
1/01/2026;57;411;490;27570;2;53.99;41.5723;8
1/01/2026;58;95;483;11550;1;120;44.88;8
1/01/2026;59;256;529;11091;4;3.99;1.4923;8
1/01/2026;60;286;463;18336;3;24.49;9.1593;8
1/01/2026;61;256;234;16945;2;49.99;38.4923;8
1/01/2026;62;487;360;13562;2;2049.0982;1105.81;4
1/01/2026;63;176;465;11287;3;24.49;9.1593;4
1/01/2026;64;256;214;15407;3;34.99;13.0863;4
1/01/2026;65;313;476;19005;4;69.99;26.1763;4
1/01/2026;66;241;575;18140;3;2384.07;1481.9379;8
1/01/2026;67;295;535;26515;2;24.99;9.3463;8
1/01/2026;68;416;539;11331;2;24.99;9.3463;8
1/01/2026;69;561;487;11277;4;54.99;20.5663;8
1/01/2026;70;526;376;18308;3;2443.35;1554.9479;8
1/01/2026;71;411;528;16653;4;4.99;1.8663;8
1/01/2026;72;491;485;15067;1;21.98;8.2205;21
1/01/2026;73;474;311;18338;2;3578.27;2171.2942;21
1/01/2026;74;537;537;11315;1;35;13.09;21
1/01/2026;75;514;217;21844;2;34.99;13.0863;4
1/01/2026;76;173;539;14237;3;24.99;9.3463;8
1/01/2026;77;93;465;22224;2;24.49;9.1593;10
1/01/2026;78;461;228;26991;2;49.99;38.4923;21
1/01/2026;79;357;225;16257;4;8.99;6.9223;8
1/01/2026;80;461;222;11080;3;34.99;13.0863;8
1/01/2026;81;159;573;27274;3;2384.07;1481.9379;8
1/01/2026;82;159;217;20004;2;34.99;13.0863;8
1/01/2026;83;474;477;17526;2;4.99;1.8663;8
1/01/2026;84;405;234;11430;2;49.99;38.4923;8
1/01/2026;85;601;217;27865;3;34.99;13.0863;8
1/01/2026;86;45;361;12698;3;2294.99;1251.9813;8
1/01/2026;87;45;234;17580;4;49.99;38.4923;10
1/01/2026;88;351;477;23262;3;4.99;1.8663;10
1/01/2026;89;149;214;21863;1;34.99;13.0863;10
1/01/2026;90;95;486;20713;3;159;59.466;10
1/01/2026;91;526;480;27454;2;2.29;0.8565;21
1/01/2026;92;306;536;11642;4;29.99;11.2163;21
1/01/2026;93;635;528;12202;2;4.99;1.8663;21
1/01/2026;94;561;562;11120;3;2384.07;1481.9379;21
1/01/2026;95;313;595;15886;1;564.99;308.2179;4
1/01/2026;96;93;487;13315;1;54.99;20.5663;4
1/01/2026;97;190;214;11420;3;34.99;13.0863;4
1/01/2026;98;295;480;27172;4;2.29;0.8565;4
1/01/2026;99;513;480;19456;4;2.29;0.8565;4
1/01/2026;100;492;537;18379;3;35;13.09;4
1/01/2026;101;164;584;22372;1;539.99;343.6496;4
1/01/2026;102;287;357;11825;3;2319.99;1265.6195;4
1/01/2026;103;2;311;14823;2;3578.27;2171.2942;4
1/01/2026;104;395;354;12314;2;2071.4196;1117.8559;4
1/01/2026;105;405;355;14264;3;2319.99;1265.6195;4
1/01/2026;106;234;375;23664;3;2181.5625;1320.6838;4
1/01/2026;107;537;477;19189;4;4.99;1.8663;4
1/01/2026;108;154;536;21049;2;29.99;11.2163;4
1/01/2026;109;395;477;12011;3;4.99;1.8663;4
1/01/2026;110;411;389;25119;4;1000.4375;605.6492;4
1/01/2026;111;444;541;29359;1;28.99;10.8423;4
1/01/2026;112;357;480;21092;3;2.29;0.8565;4
1/01/2026;113;154;477;23117;1;4.99;1.8663;4
1/01/2026;114;405;561;12341;3;2384.07;1481.9379;4
1/01/2026;115;523;538;28238;4;21.49;8.0373;4
1/01/2026;116;212;540;16361;4;32.6;12.1924;4
1/01/2026;117;444;480;15346;3;2.29;0.8565;8
1/01/2026;118;647;311;11266;2;3578.27;2171.2942;10
1/01/2026;119;461;528;11479;4;4.99;1.8663;21
1/01/2026;120;296;528;17591;4;4.99;1.8663;8
1/01/2026;121;474;478;13735;4;9.99;3.7363;8
1/01/2026;122;635;477;26644;4;4.99;1.8663;8
1/01/2026;123;561;489;19360;1;53.99;41.5723;8
1/01/2026;124;45;477;11507;1;4.99;1.8663;8
1/01/2026;125;351;528;23389;2;4.99;1.8663;8
1/01/2026;126;2;375;13453;2;2181.5625;1320.6838;8
1/01/2026;127;351;537;19076;2;35;13.09;8
1/01/2026;128;302;528;17723;3;4.99;1.8663;10
1/01/2026;129;195;537;12762;3;35;13.09;10
1/01/2026;130;75;480;26769;3;2.29;0.8565;10
1/01/2026;131;75;486;19675;2;159;59.466;10
1/01/2026;132;50;538;23718;4;21.49;8.0373;10
1/01/2026;133;231;490;24333;3;53.99;41.5723;10
1/01/2026;134;306;606;24028;4;539.99;343.6496;10
1/01/2026;135;302;313;14712;2;3578.27;2171.2942;10
1/01/2026;136;549;528;16464;2;4.99;1.8663;10
1/01/2026;137;626;217;29341;1;34.99;13.0863;10
1/01/2026;138;75;228;14674;2;49.99;38.4923;21
1/01/2026;139;357;359;16244;3;2294.99;1251.9813;21
1/01/2026;140;190;485;12443;1;21.98;8.2205;21
1/01/2026;141;234;225;23930;1;8.99;6.9223;10
1/01/2026;142;487;477;19049;3;4.99;1.8663;10
1/01/2026;143;2;217;15253;4;34.99;13.0863;10
1/01/2026;144;195;484;19103;4;7.95;2.9733;8
1/01/2026;145;195;480;20242;4;2.29;0.8565;8
1/01/2026;146;601;528;12201;3;4.99;1.8663;8
1/01/2026;147;164;225;12089;4;8.99;6.9223;8
1/01/2026;148;552;488;14132;2;53.99;41.5723;8
1/01/2026;149;306;355;14301;2;2319.99;1265.6195;8
1/01/2026;150;525;362;14676;1;2049.0982;1105.81;8
1/01/2026;151;296;467;12603;2;24.49;9.1593;8
1/01/2026;152;549;566;26486;3;742.35;461.4448;8
1/01/2026;153;2;530;26732;2;4.99;1.8663;4
1/01/2026;154;444;361;17191;3;2294.99;1251.9813;4
1/01/2026;155;513;538;24885;1;21.49;8.0373;4
1/01/2026;156;75;477;18572;3;4.99;1.8663;4
1/01/2026;157;626;222;20158;2;34.99;13.0863;8
1/01/2026;158;561;488;24604;3;53.99;41.5723;8
1/01/2026;159;35;214;21774;3;34.99;13.0863;8
1/01/2026;160;23;484;11749;1;7.95;2.9733;8
1/01/2026;161;461;475;27349;4;69.99;26.1763;8
1/01/2026;162;149;477;12183;2;4.99;1.8663;8
1/01/2026;163;302;537;16645;3;35;13.09;21
1/01/2026;164;474;234;18836;2;49.99;38.4923;21
1/01/2026;165;142;478;18427;4;9.99;3.7363;21
1/01/2026;166;635;488;25126;2;53.99;41.5723;21
1/01/2026;167;190;350;11009;3;3374.99;1898.0944;21
1/01/2026;168;357;576;24523;3;2384.07;1481.9379;21
1/01/2026;169;149;362;12735;3;2049.0982;1105.81;8
1/01/2026;170;264;472;23066;3;63.5;23.749;8
1/01/2026;171;411;479;24327;2;8.99;3.3623;8
1/01/2026;172;572;477;20539;3;4.99;1.8663;8
1/01/2026;173;95;485;17333;3;21.98;8.2205;8
1/01/2026;174;333;222;17605;1;34.99;13.0863;8
1/01/2026;175;643;349;25970;2;3374.99;1898.0944;8
1/01/2026;176;306;537;15683;1;35;13.09;8
1/01/2026;177;474;225;29403;1;8.99;6.9223;4
1/01/2026;178;241;214;11383;2;34.99;13.0863;4
1/01/2026;179;195;486;12691;3;159;59.466;4
1/01/2026;180;213;580;23343;3;1700.99;1082.51;4
1/01/2026;181;635;486;23833;2;159;59.466;8
1/01/2026;182;357;478;20464;2;9.99;3.7363;8
1/01/2026;183;561;536;20594;2;29.99;11.2163;8
1/01/2026;184;357;586;14937;3;742.35;461.4448;8
1/01/2026;185;66;530;13988;4;4.99;1.8663;8
1/01/2026;186;357;538;27746;2;21.49;8.0373;8
1/01/2026;187;626;354;13091;2;2071.4196;1117.8559;21
1/01/2026;188;142;361;18478;3;2294.99;1251.9813;21
1/01/2026;189;256;529;11164;1;3.99;1.4923;21
1/01/2026;190;526;529;24952;4;3.99;1.4923;4
1/01/2026;191;416;214;22688;1;34.99;13.0863;8
1/01/2026;192;357;463;16398;2;24.49;9.1593;10
1/01/2026;193;647;214;14851;4;34.99;13.0863;21
1/01/2026;194;159;357;12804;4;2319.99;1265.6195;8
1/01/2026;195;525;604;26869;2;539.99;343.6496;8
1/01/2026;196;405;465;20745;4;24.49;9.1593;8
1/01/2026;197;405;485;13444;2;21.98;8.2205;8
1/01/2026;198;461;222;13542;2;34.99;13.0863;8
1/01/2026;199;190;477;19038;1;4.99;1.8663;8
1/01/2026;200;287;217;11456;1;34.99;13.0863;8
1/01/2026;201;2;588;17334;3;769.49;419.7784;8
1/01/2026;202;24;480;28490;4;2.29;0.8565;10
1/01/2026;203;159;580;16897;3;1700.99;1082.51;10
1/01/2026;204;258;477;23266;3;4.99;1.8663;10
1/01/2026;205;492;486;22699;3;159;59.466;10
