CodProducto;CodSubcategoria;Producto;Color;PrecioCatálogo;Tamaño;RangoTamaño;Línea;Modelo
562;3;Touring-1000 Amarillo, 50;Amarillo;2384.07;50;48-52 CM;T;Touring-1000
465;20;Half-Finger Gloves, M;Negro;24.49;M;M;S;Half-Finger Gloves
329;2;Road-650 Rojo, 48;Rojo;782.99;48;48-52 CM;R;Road-650
243;14;HL Road Frame - Rojo, 44;Rojo;1431.5;44;42-46 CM;R;HL Road Frame
397;4;LL Mountain Handlebars;NA;40.4909;;NA;M;LL Mountain Handlebars
220;31;Sport-100 Helmet, Azul;Azul;33.6442;;NA;S;Sport-100
237;21;Long-Sleeve Logo Jersey, XL;Naranja;49.99;XL;XL;S;Long-Sleeve Logo Jersey
305;12;HL Mountain Frame - Negro, 38;Negro;1226.9091;38;38-40 CM;M;HL Mountain Frame
477;28;Water Bottle - 30 oz.;NA;4.99;;NA;S;Water Bottle
600;1;Mountain-500 Negro, 52;Negro;539.99;52;48-52 CM;M;Mountain-500
386;2;Road-550-W Amarillo, 42;Amarillo;1120.49;42;42-46 CM;R;Road-550-W
437;14;HL Road Frame - Negro, 62;Negro;1301.3636;62;60-62 CM;R;HL Road Frame
498;16;HL Touring Frame - Azul, 50;Azul;1003.91;50;48-52 CM;T;HL Touring Frame
588;1;Mountain-400-W Verde, 40;Verde;769.49;40;38-40 CM;M;Mountain-400-W
536;37;ML Mountain Tire;NA;29.99;;NA;M;ML Mountain Tire
426;12;ML Mountain Frame - Negro, 40;Negro;348.76;40;38-40 CM;M;ML Mountain Frame
401;4;HL Mountain Handlebars;NA;109.3364;;NA;M;HL Mountain Handlebars
247;14;HL Road Frame - Rojo, 52;Rojo;1263.4598;52;48-52 CM;R;HL Road Frame
282;14;LL Road Frame - Negro, 48;Negro;297.6346;48;48-52 CM;R;LL Road Frame
564;3;Touring-1000 Amarillo, 60;Amarillo;2384.07;60;60-62 CM;T;Touring-1000
228;21;Long-Sleeve Logo Jersey, S;Naranja;49.99;S;S;S;Long-Sleeve Logo Jersey
476;22;Women's Mountain Shorts, L;Negro;69.99;L;L;M;Women's Mountain Shorts
242;14;HL Road Frame - Rojo, 44;Rojo;1301.3636;44;42-46 CM;R;HL Road Frame
471;25;Classic Vest, S;Azul;63.5;S;S;S;Classic Vest
314;2;Road-150 Rojo, 56;Rojo;3578.27;56;54-58 CM;R;Road-150
537;37;HL Mountain Tire;NA;35;;NA;M;HL Mountain Tire
539;37;ML Road Tire;NA;24.99;;NA;R;ML Road Tire
315;2;Road-450 Rojo, 58;Rojo;1457.99;58;54-58 CM;R;Road-450
580;2;Road-350-W Amarillo, 40;Amarillo;1700.99;40;38-40 CM;R;Road-350-W
433;14;ML Road Frame-W - Amarillo, 44;Amarillo;540.7545;44;42-46 CM;R;ML Road Frame-W
