CodTienda;Pais;Ciudad
2;Estados Unidos;New York
9;Estados Unidos;Los Angeles
23;Estados Unidos;Chicago
24;Estados Unidos;Houston
35;Estados Unidos;Phoenix
45;Estados Unidos;San Antonio
50;Estados Unidos;San Diego
66;Estados Unidos;Dallas
75;Estados Unidos;San Jose
93;Estados Unidos;Austin
95;Estados Unidos;Jacksonville
98;Estados Unidos;Fort Worth
142;Estados Unidos;Columbus
143;Estados Unidos;Indianapolis
149;Estados Unidos;San Francisco
154;Estados Unidos;Charlotte
159;Estados Unidos;Seattle
164;Estados Unidos;Denver
173;Estados Unidos;Washington
176;Estados Unidos;Boston
190;Estados Unidos;Nashville
195;Estados Unidos;Portland
212;Estados Unidos;Miami
213;Estados Unidos;Orlando
231;Estados Unidos;Tampa
234;Estados Unidos;Atlanta
241;Estados Unidos;Philadelphia
256;Estados Unidos;Raleigh
258;Estados Unidos;Baltimore
264;Estados Unidos;Virginia Beach
286;Estados Unidos;Gilbert
287;Estados Unidos;Mesa
295;Estados Unidos;Baldwin Park
296;Estados Unidos;Barstow
302;Estados Unidos;Burlingame
306;Estados Unidos;Cerritos
313;Estados Unidos;Culver City
333;Estados Unidos;Lake Elsinore
351;Estados Unidos;Oxnard
357;Estados Unidos;San Bruno
386;Estados Unidos;Denver
395;Estados Unidos;Hamden
405;Estados Unidos;Hollywood
411;Estados Unidos;Orlando
416;Estados Unidos;Atlanta
444;Estados Unidos;Logansport
456;Estados Unidos;Saugus
461;Estados Unidos;Holland
474;Estados Unidos;Zeeland
487;Estados Unidos;Saint Louis
491;Estados Unidos;Billings
492;Estados Unidos;Great Falls
513;Estados Unidos;Central Valley
514;Estados Unidos;Cheektowaga
523;Estados Unidos;Valley Stream
525;Estados Unidos;Cincinnati
526;Estados Unidos;Columbus
528;Estados Unidos;Heath
537;Estados Unidos;Clackamas
545;Estados Unidos;Milwaukie
549;Estados Unidos;Springfield
552;Estados Unidos;W. Linn
561;Estados Unidos;North Sioux City
572;Estados Unidos;Austin
585;Estados Unidos;Killeen
601;Estados Unidos;Tooele
626;Estados Unidos;Lynnwood
635;Estados Unidos;Renton
643;Estados Unidos;Union Gap
647;Estados Unidos;Woodinville
