problema,detalle_problema,fecha_orden,cod_venta,cod_tienda,cod_producto,cod_cliente,cantidad,precio_unit,coste_unit,porc_iva,data_ingestion_ts
NULO_ORIGINAL,cantidad,1/02/2026,241021,395,463,210135,,24.49,9.1593,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,243875,461,529,212989,1,3.99,1.4923,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,1/02/2026,243969,35,489,,2,53.99,41.5723,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,1/02/2026,246440,395,528,,1,4.99,1.8663,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,1/02/2026,247323,585,480,,4,2.29,0.8565,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,249231,173,478,218345,3,9.99,3.7363,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,2/02/2026,252140,523,528,,4,4.99,1.8663,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,2/02/2026,252178,572,478,221292,,9.99,3.7363,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,254371,142,217,223485,3,34.99,13.0863,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,260100,98,530,229214,2,4.99,1.8663,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,4/02/2026,265170,93,217,,1,34.99,13.0863,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,271271,526,356,240385,2,2071.4196,1117.8559,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,5/02/2026,274654,585,225,243768,,8.99,6.9223,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,5/02/2026,275870,444,214,,4,34.99,13.0863,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,5/02/2026,276652,66,477,,3,4.99,1.8663,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,6/02/2026,280900,474,222,,2,34.99,13.0863,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,6/02/2026,282886,525,572,252000,,742.35,461.4448,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,283034,351,480,252148,1,2.29,0.8565,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,284625,241,480,253739,1,2.29,0.8565,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,6/02/2026,285656,164,528,,4,4.99,1.8663,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,6/02/2026,286854,195,540,255968,,32.6,12.1924,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,7/02/2026,288107,386,535,,3,24.99,9.3463,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,291205,9,231,260319,3,49.99,38.4923,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,7/02/2026,291528,313,477,,1,4.99,1.8663,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,292654,626,566,261768,3,742.35,461.4448,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,295144,552,478,264258,2,9.99,3.7363,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,8/02/2026,301389,526,490,270503,,53.99,41.5723,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,8/02/2026,301598,549,342,270712,,699.0982,413.1463,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,9/02/2026,305193,143,357,,1,2319.99,1265.6195,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,9/02/2026,306826,395,355,275940,,2319.99,1265.6195,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,307145,416,479,276259,4,8.99,3.3623,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,9/02/2026,307680,351,535,276794,,24.99,9.3463,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,309681,286,479,278795,3,8.99,3.3623,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,310204,75,541,279318,1,28.99,10.8423,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,10/02/2026,312264,572,537,281378,,35,13.09,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,10/02/2026,313998,444,225,,3,8.99,6.9223,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,315913,241,237,285027,3,49.99,38.4923,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,11/02/2026,320126,351,476,,2,69.99,26.1763,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,11/02/2026,321695,264,489,290809,,53.99,41.5723,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,325173,287,482,294287,2,8.99,3.3623,21,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,12/02/2026,326645,287,478,,1,9.99,3.7363,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,327641,258,491,296755,1,53.99,41.5723,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,330833,351,539,299947,3,24.99,9.3463,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,332120,143,541,301234,2,28.99,10.8423,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,12/02/2026,332514,561,214,301628,,34.99,13.0863,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,13/02/2026,336092,333,567,305206,,742.35,461.4448,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,14/02/2026,342267,95,477,311381,,4.99,1.8663,10,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cod_cliente,14/02/2026,344285,526,477,,2,4.99,1.8663,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,14/02/2026,345933,411,541,315047,,28.99,10.8423,4,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,347506,456,478,316620,2,9.99,3.7363,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,fecha_orden,,352108,213,564,321222,2,2384.07,1481.9379,8,2026-08-02 05:12:12.124691
NULO_ORIGINAL,cantidad,15/02/2026,352204,306,313,321318,,3578.27,2171.2942,8,2026-08-02 05:12:12.124691
